Timestamp,Sensor ID,Time_Sensor_ID,Latitude,Longitude,Location,River Level (m),Change in Level (m),Flood Event
3/1/2025 0:00,CR-001,01-03-2025 00-00-00-CR-001,10.62038,-61.466257,Caroni Source,2.09,-1.53,No
3/1/2025 0:00,CR-002,01-03-2025 00-00-00-CR-002,10.617247,-61.43931,Early Caroni,2.49,0.04,No
3/1/2025 0:00,CR-003,01-03-2025 00-00-00-CR-003,10.616628,-61.420142,Mid Upper Caroni,1.97,-0.97,No
3/1/2025 0:00,CR-004,01-03-2025 00-00-00-CR-004,10.609654,-61.395995,Mid Caroni,1.97,-1.84,No
3/1/2025 0:00,CR-005,01-03-2025 00-00-00-CR-005,10.606111,-61.374422,Mid Lower Caroni,1.71,-0.68,No
3/1/2025 0:00,CR-006,01-03-2025 00-00-00-CR-006,10.582769,-61.341406,Lower Caroni,1.75,-0.34,No
3/1/2025 0:00,CR-007,01-03-2025 00-00-00-CR-007,10.578663,-61.291224,Caroni Swamp Entrance,3.1,0.33,No
3/1/2025 0:00,CR-008,01-03-2025 00-00-00-CR-008,10.5799,-61.255061,Caroni River Mouth,1.82,-0.94,No
3/1/2025 1:00,CR-001,01-03-2025 01-00-00-CR-001,10.62038,-61.466257,Caroni Source,2.78,0.69,No
3/1/2025 1:00,CR-002,01-03-2025 01-00-00-CR-002,10.617247,-61.43931,Early Caroni,2.39,-0.1,No
3/1/2025 1:00,CR-003,01-03-2025 01-00-00-CR-003,10.616628,-61.420142,Mid Upper Caroni,2.54,0.57,No
3/1/2025 1:00,CR-004,01-03-2025 01-00-00-CR-004,10.609654,-61.395995,Mid Caroni,1.88,-0.09,No
3/1/2025 1:00,CR-005,01-03-2025 01-00-00-CR-005,10.606111,-61.374422,Mid Lower Caroni,2.61,0.9,No
3/1/2025 1:00,CR-006,01-03-2025 01-00-00-CR-006,10.582769,-61.341406,Lower Caroni,3.74,1.99,No
3/1/2025 1:00,CR-007,01-03-2025 01-00-00-CR-007,10.578663,-61.291224,Caroni Swamp Entrance,3.13,0.03,No
3/1/2025 1:00,CR-008,01-03-2025 01-00-00-CR-008,10.5799,-61.255061,Caroni River Mouth,2.36,0.54,No
3/1/2025 2:00,CR-001,01-03-2025 02-00-00-CR-001,10.62038,-61.466257,Caroni Source,3.22,0.44,No
3/1/2025 2:00,CR-002,01-03-2025 02-00-00-CR-002,10.617247,-61.43931,Early Caroni,3.08,0.69,No
3/1/2025 2:00,CR-003,01-03-2025 02-00-00-CR-003,10.616628,-61.420142,Mid Upper Caroni,2.37,-0.17,No
3/1/2025 2:00,CR-004,01-03-2025 02-00-00-CR-004,10.609654,-61.395995,Mid Caroni,2.81,0.93,No
3/1/2025 2:00,CR-005,01-03-2025 02-00-00-CR-005,10.606111,-61.374422,Mid Lower Caroni,3.05,0.44,No
3/1/2025 2:00,CR-006,01-03-2025 02-00-00-CR-006,10.582769,-61.341406,Lower Caroni,3.57,-0.17,No
3/1/2025 2:00,CR-007,01-03-2025 02-00-00-CR-007,10.578663,-61.291224,Caroni Swamp Entrance,3.37,0.24,No
3/1/2025 2:00,CR-008,01-03-2025 02-00-00-CR-008,10.5799,-61.255061,Caroni River Mouth,3.86,1.5,Yes
3/1/2025 3:00,CR-001,01-03-2025 03-00-00-CR-001,10.62038,-61.466257,Caroni Source,2.45,-0.77,No
3/1/2025 3:00,CR-002,01-03-2025 03-00-00-CR-002,10.617247,-61.43931,Early Caroni,1.82,-1.26,No
3/1/2025 3:00,CR-003,01-03-2025 03-00-00-CR-003,10.616628,-61.420142,Mid Upper Caroni,1.5,-0.87,No
3/1/2025 3:00,CR-004,01-03-2025 03-00-00-CR-004,10.609654,-61.395995,Mid Caroni,1.9,-0.91,No
3/1/2025 3:00,CR-005,01-03-2025 03-00-00-CR-005,10.606111,-61.374422,Mid Lower Caroni,2.61,-0.44,No
3/1/2025 3:00,CR-006,01-03-2025 03-00-00-CR-006,10.582769,-61.341406,Lower Caroni,2.25,-1.32,No
3/1/2025 3:00,CR-007,01-03-2025 03-00-00-CR-007,10.578663,-61.291224,Caroni Swamp Entrance,2.95,-0.42,No
3/1/2025 3:00,CR-008,01-03-2025 03-00-00-CR-008,10.5799,-61.255061,Caroni River Mouth,2.86,-1,No
