Timestamp,Sensor ID,Time_Sensor_ID,Latitude,Longitude,Location,River Level (m),Change in Level (m),Flood Event
04/12/2025 09:00:00 AM,CR-001,2025-04-12 09:00:00-CR-001,10.6406,-61.3994,St. Augustine,2.21,0.007,No
04/12/2025 09:00:15 AM,CR-001,2025-04-12 09:00:15-CR-001,10.6406,-61.3994,St. Augustine,2.21,0.007,No
04/12/2025 09:00:30 AM,CR-001,2025-04-12 09:00:30-CR-001,10.6406,-61.3994,St. Augustine,2.22,0.006,No
04/12/2025 09:00:45 AM,CR-001,2025-04-12 09:00:45-CR-001,10.6406,-61.3994,St. Augustine,2.23,0.011,No
04/12/2025 09:01:00 AM,CR-001,2025-04-12 09:01:00-CR-001,10.6406,-61.3994,St. Augustine,2.25,0.017,No
04/12/2025 09:01:15 AM,CR-001,2025-04-12 09:01:15-CR-001,10.6406,-61.3994,St. Augustine,2.25,0.0,No
04/12/2025 09:01:30 AM,CR-001,2025-04-12 09:01:30-CR-001,10.6406,-61.3994,St. Augustine,2.27,0.019,No
04/12/2025 09:01:45 AM,CR-001,2025-04-12 09:01:45-CR-001,10.6406,-61.3994,St. Augustine,2.28,0.016,No
04/12/2025 09:02:00 AM,CR-001,2025-04-12 09:02:00-CR-001,10.6406,-61.3994,St. Augustine,2.29,0.004,No
04/12/2025 09:02:15 AM,CR-001,2025-04-12 09:02:15-CR-001,10.6406,-61.3994,St. Augustine,2.3,0.011,No
04/12/2025 09:02:30 AM,CR-001,2025-04-12 09:02:30-CR-001,10.6406,-61.3994,St. Augustine,2.32,0.02,No
04/12/2025 09:02:45 AM,CR-001,2025-04-12 09:02:45-CR-001,10.6406,-61.3994,St. Augustine,2.34,0.023,No
04/12/2025 09:03:00 AM,CR-001,2025-04-12 09:03:00-CR-001,10.6406,-61.3994,St. Augustine,2.35,0.008,No
04/12/2025 09:03:15 AM,CR-001,2025-04-12 09:03:15-CR-001,10.6406,-61.3994,St. Augustine,2.36,0.013,No
04/12/2025 09:03:30 AM,CR-001,2025-04-12 09:03:30-CR-001,10.6406,-61.3994,St. Augustine,2.37,0.01,No
04/12/2025 09:03:45 AM,CR-001,2025-04-12 09:03:45-CR-001,10.6406,-61.3994,St. Augustine,2.38,0.007,No
